WEO Country Code,ISO,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2015,2016,2017,2018,2019,Estimates Start After
512,AFG,Afghanistan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",19.68 ,19.65 ,20.93 ,22.22 ,23.82 ,2013
914,ALB,Albania,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",11.59 ,12.20 ,13.21 ,14.34 ,15.55 ,2012
612,DZA,Algeria,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",175.08 ,181.71 ,192.26 ,202.18 ,210.91 ,2013
614,AGO,Angola,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",102.01 ,98.82 ,105.37 ,112.53 ,119.40 ,2013
311,ATG,Antigua and Barbuda,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.29 ,1.33 ,1.39 ,1.46 ,1.54 ,2014
213,ARG,Argentina,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",578.71 ,578.69 ,589.59 ,602.87 ,617.39 ,2014
911,ARM,Armenia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",10.61 ,10.67 ,11.07 ,11.63 ,12.27 ,2014
193,AUS,Australia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1240.80 ,1253.00 ,1317.16 ,1381.51 ,1442.47 ,2014
122,AUT,Austria,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",372.61 ,386.23 ,402.79 ,418.40 ,433.75 ,2014
912,AZE,Azerbaijan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",63.98 ,63.60 ,70.93 ,74.27 ,84.00 ,2014
313,BHS,The Bahamas,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",8.88 ,9.20 ,9.55 ,9.81 ,10.11 ,2014
419,BHR,Bahrain,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",30.91 ,32.34 ,34.32 ,36.33 ,38.45 ,2014
513,BGD,Bangladesh,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",202.33 ,218.99 ,238.72 ,260.87 ,285.33 ,2013
316,BRB,Barbados,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",4.45 ,4.54 ,4.65 ,4.81 ,5.00 ,2013
913,BLR,Belarus,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",62.02 ,66.37 ,71.00 ,76.02 ,82.44 ,2013
124,BEL,Belgium,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",458.65 ,473.52 ,492.06 ,511.49 ,531.19 ,2014
339,BLZ,Belize,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.76 ,1.84 ,1.93 ,2.02 ,2.11 ,2013
